date,open,high,low,close,volume
2023-07-13,1240.728739413603,1279.6729026631901,1236.9644035943056,1268.7982177734375,9977644
2023-07-14,1283.2513703020002,1329.1199269059089,1283.2513703020002,1325.3555908203125,12833381
2023-07-17,1325.3553796402884,1356.027373066275,1314.5273272735951,1322.5670166015625,11569884
2023-07-18,1332.8377457769811,1373.687225447086,1328.1904733021659,1371.1312255859375,16743977
2023-07-19,1381.1693208273919,1393.0663832409173,1357.6540777205,1370.8988037109375,13687062
2023-07-20,1367.2274100444117,1367.2274100444117,1339.0648965954,1347.244140625,8347221
2023-07-21,1227.0655747810806,1254.7633595078025,1212.9379141908757,1237.661376953125,45548305
2023-07-24,1246.398337830829,1254.670504599167,1240.1245206940966,1242.3087158203125,8859789
2023-07-25,1242.6805423705,1248.1178279606174,1230.829998679233,1240.4498291015625,6801982
2023-07-26,1248.2572943766568,1254.7634753600048,1244.9112811341217,1253.694580078125,5528885
2023-07-27,1262.7567654377913,1267.5899965472738,1252.0216348505492,1257.6912841796875,9191861
2023-07-28,1258.3417870049511,1267.6363307852569,1241.7510490488623,1245.93359375,6122735
2023-07-31,1253.6016166280715,1261.7343425932213,1239.1950734898064,1260.061279296875,7902180
2023-08-01,1265.9169045571427,1272.4230854175687,1261.2696325139816,1268.89111328125,6064652
2023-08-02,1272.7019018221301,1275.1648651116004,1253.322687629451,1261.130126953125,7419145
2023-08-03,1254.7634441524986,1270.145959906921,1253.8339897494227,1268.0546875,6503741
2023-08-04,1272.3302261741662,1288.1309519095748,1265.9169677427412,1281.113525390625,5712345
2023-08-07,1289.9897857158628,1296.5888892705716,1279.8587100541772,1294.72998046875,3729093
2023-08-08,1294.5905182197114,1295.2412043648678,1286.7366740453401,1292.12744140625,4161877
2023-08-09,1286.3647802992666,1297.5182321515724,1284.9705988177284,1296.0311279296875,4090828
2023-08-10,1293.4286162817955,1297.3323925229795,1287.8518903304866,1291.10498046875,3873025
2023-08-11,1293.800550711213,1298.3083819497344,1270.610708350301,1275.072021484375,5783517
2023-08-14,1275.0719825934739,1296.5888744198694,1269.2628926543166,1295.2412109375,4304135
2023-08-16,1311.2742769730567,1319.7786937329943,1306.2552006588273,1318.4310302734375,7735313
2023-08-17,1319.825280033983,1319.825280033983,1306.812918118155,1311.971435546875,5618346
2023-08-18,1304.6750735005544,1309.3223454207798,1288.3632171358356,1290.8262939453125,5134103
2023-08-21,1291.709264831686,1307.742353385992,1289.2927060601864,1306.2552490234375,3032722
2023-08-22,1305.6046160284368,1306.8594702986447,1298.1225758070195,1304.7216796875,2890714
2023-08-23,1316.107520023971,1316.665170010188,1306.48768902064,1308.6253662109375,2559125
2023-08-24,1321.2193112047876,1324.5189194126233,1314.6666128884629,1323.171142578125,5171963
2023-08-25,1313.3189876716804,1322.148803936989,1311.8318834134902,1319.9180908203125,4307172
2023-08-28,1319.9182535183484,1324.2867575475643,1311.83204511479,1315.7822265625,3133464
2023-08-29,1323.5431263001694,1323.914930768979,1315.4569180328365,1317.64111328125,3074444
2023-08-30,1326.3314181496944,1335.30067572943,1323.5430549720845,1333.906494140625,3070887
2023-08-31,1333.906534483456,1342.968715084765,1327.8650807492497,1334.185302734375,9792735
2023-09-01,1330.0026916597724,1343.9910253779606,1327.446692130181,1341.99267578125,3582133
2023-09-04,1341.2026120597739,1366.2978792292915,1333.4880956574837,1361.7435302734375,4609014
2023-09-05,1361.650630132572,1375.6389635594269,1353.750268114738,1374.570068359375,5496840
2023-09-06,1377.3584299899496,1378.2878843440208,1360.070601695981,1373.2222900390625,5075786
2023-09-07,1366.855613248634,1369.4581309432015,1358.9088462312307,1362.7659912109375,4411743
2023-09-08,1360.25649837947,1370.7128602563196,1357.1892535120792,1365.9261474609375,3125838
2023-09-11,1365.9261069950462,1373.7800644251438,1361.1859124430616,1372.2928466796875,4182226
2023-09-12,1377.9161503149019,1397.8994199484737,1372.8970738547118,1395.2039794921875,6793161
2023-09-13,1398.8288435447748,1398.8288435447748,1383.6322871056639,1392.64794921875,4804686
2023-09-14,1398.8288446904617,1405.846270656975,1393.3915592483722,1400.6412353515625,6444213
2023-09-15,1410.9119103107828,1411.2837147970909,1402.546819933446,1404.96337890625,8657816
2023-09-18,1398.7360111511314,1398.7360111511314,1383.0282084042437,1386.5601806640625,3991916
2023-09-20,1372.060626309963,1389.6273382680865,1372.060626309963,1385.1195068359375,4169337
2023-09-21,1381.6804443744052,1398.4106230981856,1371.8746553500082,1395.80810546875,6779195
2023-09-22,1386.6529684238076,1400.641188325793,1380.4255561991947,1390.6031494140625,5455613
2023-09-25,1384.7475392640083,1384.7475392640083,1367.7385927513728,1370.1551513671875,4217863
2023-09-26,1374.8024497360157,1375.4995405113145,1356.0739215478982,1357.6075439453125,3996528
2023-09-27,1353.2855237091,1365.926080084956,1347.7553157505324,1363.509521484375,3863586
2023-09-28,1364.346121640076,1368.7145118891362,1333.7670495202924,1337.903076171875,5814602
2023-09-29,1331.0716531169655,1344.7347011757531,1316.1074596363055,1334.185302734375,6068968
2023-10-03,1334.7429511957962,1335.625887435849,1320.1040453314158,1332.8375244140625,4181867
2023-10-04,1324.4724780818983,1347.6623192444497,1318.1521429784143,1342.4573974609375,4510406
2023-10-05,1349.5677537176623,1371.5493723980028,1347.8946904576385,1360.2099609375,7384621
2023-10-06,1365.8332203052626,1379.7750360960613,1360.0706484952473,1374.3841552734375,3598672
2023-10-09,1361.5577278028998,1385.8164641413844,1359.0481329313968,1371.3634033203125,3567552
2023-10-10,1379.2174656790087,1391.393296146582,1365.4614945887647,1389.673828125,5688951
2023-10-11,1391.3932433298958,1411.144149422588,1376.940181958551,1388.9766845703125,7220129
2023-10-12,1386.6529740945282,1398.2711535251433,1349.5677226602481,1362.1153564453125,11081662
2023-10-13,1305.8833450003033,1336.5553381568939,1301.2360733099106,1330.1885986328125,17973439
2023-10-16,1331.0716238772634,1341.7603494799055,1329.1197923285388,1332.97705078125,4850745
2023-10-17,1338.6466520261836,1350.822481541712,1336.6018978023671,1340.69140625,3923764
